datahora,Geração Usinas CVU (MW),Geração Biomassa (MW),Geração Eólicas (MW),Geração Hidráulica não MRE (MW),Geração Hidráulica MRE (MW),PLD (R$/MWh),CMO (R$/MWh),Carga Global (MWh/H),Intercâmbio (MW),ENA Armazenável (MW)
2021-04-17 22:00,160.323542,3.625075,6.945734,1.711453,5.752902,178.44,188.075,41000.759,6310.771,28322.01218556966
2021-04-17 23:00,157.81475,3.9082749999999997,7.085449,1.7108539999999999,5.682462,171.04,179.99,39081.3915,6219.111,28322.01218556966
2021-04-18 00:00,119.731889,4.2963819999999995,6.797719,1.708224,5.1968000000000005,166.05,175.6,37175.417,5995.49799999,29282.3046875
2021-04-18 01:00,23.502748999999998,4.273622,6.041528,1.715765,5.062774999999999,148.28,164.39499999999998,35163.4275,5506.128,28322.01218556966
2021-04-18 02:00,16.072437,3.5604839999999998,4.331536,1.716259,4.6467,134.3,144.85,33741.29,5362.763,28322.01218556966
2021-04-18 03:00,16.084922,3.1461799999999998,4.139053,1.771558,4.583386,94.0,144.63,32806.526,5266.26599999,28322.01218556966
2021-04-18 04:00,16.042434999999998,3.5623899999999997,1.979587,1.7803339999999999,4.507013,98.08,143.675,32104.866,5164.328,28322.01218556966
2021-04-18 05:00,15.825315999999999,3.1345929999999997,0.141706,1.780657,4.570842,99.99,142.77,31704.019,5104.87299999,28322.01218556966
2021-04-18 06:00,12.715753999999999,3.075833,0.099537,1.779413,4.530341,104.04,112.805,31481.4795,5135.85999999,28322.01218556966
2021-04-18 07:00,9.666267999999999,3.365706,0.0,1.7790169999999998,4.4016,96.17,47.02,30290.481,5055.49,28322.01218556966
2021-04-18 08:00,9.662269,3.411924,0.0,1.7815509999999999,4.481903,99.69,89.83000000000001,30989.184500000003,5429.504,28322.01218556966
2021-04-18 09:00,9.964146,3.2172169999999998,0.0,1.7152,4.251022,101.5,114.41499999999999,32047.949999999997,5502.604,28322.01218556966
2021-04-18 10:00,74.76870699999999,2.7776,0.0,1.7153779999999998,4.35698,107.94,130.7,33090.8555,5574.34599999,28322.01218556966
2021-04-18 11:00,108.494125,2.4403699999999997,1.343376,1.7502689999999999,4.47615,107.12,140.15,34030.621,5650.906,28322.01218556966
2021-04-18 12:00,111.089404,2.259052,4.241779,1.777739,4.547496,106.95,144.14499999999998,34680.458,5520.194,28322.01218556966
